Modelo,Vidrio,Venta,Total ganancia ,Vendedores,Fecha de venta
X,Normal,10.00,,Insta Technoglass,17/10/24
XS,Normal,10.00,,Insta Technoglass,17/10/24
11 Pro,Normal,10.00,,Insta Technoglass,17/10/24
XR,Normal,10.00,,Insta Technoglass,17/10/24
11,Normal,10.00,,Insta Technoglass,17/10/24
Xs Max,Normal,10.00,,Insta Technoglass,17/10/24
11 Pro Max,Normal,10.00,,Insta Technoglass,17/10/24
12,Normal,10.00,,Insta Technoglass,17/10/24
12 Pro,Normal,10.00,,Insta Technoglass,17/10/24
13,Normal,10.00,,Insta Technoglass,17/10/24
13 Pro ,Normal,10.00,,Insta Technoglass,17/10/24
14,Normal,10.00,,Insta Technoglass,17/10/24
14 Pro,Normal,10.00,,Insta Technoglass,17/10/24
13 Pro Max,Normal,10.00,,Insta Technoglass,17/10/24
14 Plus,Normal,10.00,,Insta Technoglass,17/10/24
15,Normal,10.00,,Insta Technoglass,17/10/24
15 Pro ,Normal,10.00,,Insta Technoglass,17/10/24
15 Plus ,Normal,10.00,,Insta Technoglass,17/10/24
15 Pro Max,Normal,10.00,,Insta Technoglass,17/10/24
X ,Completo,20.00,,Insta Technoglass,17/10/24
XS ,Completo,20.00,,Insta Technoglass,17/10/24
11 Pro ,Completo,20.00,,Insta Technoglass,17/10/24
Xs Max ,Completo,20.00,,Insta Technoglass,17/10/24
12 Pro Max ,Completo,20.00,,Insta Technoglass,17/10/24
14 Pro Max,Completo,20.00,,Insta Technoglass,17/10/24
15 Pro ,Completo,20.00,,Insta Technoglass,17/10/24
15 Pro Max,Completo,20.00,,Insta Technoglass,17/10/24
XR ,Privacidad,35.00,,Insta Technoglass,17/10/24
11,Privacidad,35.00,,Insta Technoglass,17/10/24
12,Privacidad,35.00,,Insta Technoglass,17/10/24
12 Pro ,Privacidad,35.00,,Insta Technoglass,17/10/24
12 Pro Max ,Privacidad,35.00,,Insta Technoglass,17/10/24
13,Privacidad,35.00,,Insta Technoglass,17/10/24
14,Privacidad,35.00,,Insta Technoglass,17/10/24
13 Pro Max ,Privacidad,35.00,,Insta Technoglass,17/10/24
14 Plus ,Privacidad,35.00,,Insta Technoglass,17/10/24
15,Privacidad,35.00,,Insta Technoglass,17/10/24
15 Pro ,Privacidad,35.00,,Insta Technoglass,17/10/24
15 Plus ,Privacidad,35.00,,Insta Technoglass,17/10/24
15 Pro Max ,Privacidad,35.00,,Insta Technoglass,17/10/24
